 order,family,genus,species,StemLengthMeters,VDbase um (Vessel diameter stem base micrometers),VDtip um (Vessel diameter stem tip micrometers),Datos crudos sobre hojas,Fuente general,Fuente herbario,Min. longitud total de la hoja (cm),Max. longitud total de la hoja (cm),Min. longitud del peciolo (cm),Max. longitud del peciolo (cm),Min. longitud de la lamina (cm),Max. longitud de la lamina (cm),Min. ancho de hoja o lamina (cm),Max. ancho de hoja o lamina (cm),Tipo de hoja (simple o compuesta),Long hoja (cm),Ancho hoja (cm),NOTAS,,,,
Ericales,Primulaceae,Bonellia,macrocarpa_subsp_pungens,9.30,65.20,8.84,"Láminas foliares 3.5- 9.5(-12) × 1-(3.5) cm, angostamente obovadas a oblanceoladas o elípticas a angostamente elípticas, algunas veces angostamente ovadas a lanceoladas, coriáceas, el haz liso o débilmente acanalado, el envés estriado, la base atenuada, el ápice agudo con una espina (0.5-)1.5-3(-4) mm, rígida; nervaduras laterales inconspicuas; pecíolos 1-3(-4) × 0.5-0.9 mm.",http://legacy.tropicos.org/NamePage.aspx?nameId=50250261&projectId=3,,3.5,9.5,0.1,0.3,,,1,3.5,simple,,,Se tomaron las medidas de la especie (sin subespecie),,,,
Ericales,Primulaceae,Myrsine,guianensis,3.31,66.20,17.80,5 x 1.7; 8.8 x 3.4; 4.8 x 2.1; 8.5 x 3.7,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.col000132899,4.8,8.8,,,,,1.7,3.7,simple,,,Sólo se encontraron 4 ejemplares.,,,,
Ericales,Primulaceae,Myrsine,sp,1.49,18.20,9.53,,,,,,,,,,,,,,,No identificada,,,,
Ericales,Sapotaceae,Pouteria,campechiana,21.92,97.91,14.66,"Hojas 7.9-25(-33) × 2.7-7(-15) cm. Leaves with petioles 6-33 mm long; blades 6.5-30 cm long, 2-8.5 cm broad",http://legacy.tropicos.org/NamePage.aspx?nameId=28700384&projectId=3; http://legacy.tropicos.org/NamePage.aspx?nameId=28700384&projectId=56,,7.1,33.3,0.6,3.3,6.5,30,2,8,simple,,,Se sumaron los datos de ambas fuentes para obtener los valores.,,,,
Ericales,Sapotaceae,Sideroxylon,obtusifolium,8.72,58.42,10.13,"Hojas (1.2–) 3.5–6.3 (–8.5) cm de largo y (0.4–) 1.5–2.5 (–4) cm de ancho,",http://legacy.tropicos.org/NamePage.aspx?nameId=28700840&projectId=7,,3.5,6.3,,,,,1.5,2.5,simple,,,,,,,
Ericales,Styracaceae,Styrax,argenteus,19.00,99.45,33.13,Hojas con pecíolos 10-25 mm. Lámina 6.5-18 × 4-7.5 cm.,http://legacy.tropicos.org/NamePage.aspx?nameId=30800007&projectId=3,,7.5,20.5,1,2.5,6.5,18,4,7.5,simple,,,,,,,
Ericales,Symplocaceae,Symplocos,celastrifolia,7.27,68.07,17.03,Leaves 3.5 by 1.5-1.75 inch.; petiole 0.2 inch.,https://www.biodiversitylibrary.org/page/456171#page/579/mode/1up,,0.5,,,0.5,,,3.8,4.4,simple,8.9,,,,,,
Ericales,Symplocaceae,Symplocos,cf_reflexa,0.74,47.82,24.03,Hojas 5.1-7.1 cm de largo; peciolos 2.7-3.8 mm de largo; láminas 4.8-6.7 x 2.2-3.4 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.g00359201; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.g00359202,5.1,7.1,0.27,0.38,4.8,6.7,2.2,3.4,simple,,,,,,,
Escalloniales,Escalloniaceae,Anopterus,glandulosus,3.98,35.37,18.02,Hojas 7.9-22 cm de largo; peciolos .52-21 mm de largo; láminas 7.4-19.9 x 1.7-3.3 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.gh00042621; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.hal0117678,7.9,22,0.52,2.1,7.4,19.9,1.7,3.3,simple,,,,,,,
Escalloniales,Escalloniaceae,Escallonia,rubra,0.93,22.79,8.72,Hojas 1.8-4.5 cm de largo; peciolos 1.4-4.6 mm de largo; láminas 1.7-4 x 0.9-1.6 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.bc873140; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.p00709590; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.f0043021f,1.8,4.5,0.14,0.46,1.7,4,0.9,1.6,simple,,,,,,,
Escalloniales,Escalloniaceae,Escallonia,virgata,2.15,27.24,6.99,Hojas 0.6-1.7 x .15-.5 cm; subsésiles.,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.g00388756; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.g00439962; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.p00709616,0.6,1.7,,,,,0.15,0.5,simple,,,Subsesil,,,,
Escalloniales,Escalloniaceae,Polyosma,rhytophloia,7.99,61.09,20.09,"Leaf blade, 9-14 by 2.5-4 cm; petioles 9-21 mm long",https://www.biodiversitylibrary.org/page/48577016#page/192/mode/1up,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.k000739772,9.9,16.1,0.9,2.1,9,14,2.5,4,simple,,,"El ancho de las láminas se obtuvo del holotipo, ya que la descripción no contaba con ese dato.",,,,
Fabales,Fabaceae,Acacia,binervia,8.93,89.80,19.53,"Phyllodes (4-)6–15 cm long, 5–23 mm wide; pulvinus 1.5–5 mm long",https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Acacia~binervia,,6,15,,,,,0.5,2.3,compound,,,¿Los filodios se tomarían como hojas?,,,,
Fabales,Fabaceae,Acacia,farnesiana,5.05,66.95,8.18,Hojas 1.8-5.7 cm de largo; peciolos 3-9 mm de largo; láminas 1.5-4.8 x 1.6-3.9 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.rsa0023982; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.ma666107; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.mo-125063,1.8,5.7,0.3,0.9,1.5,4.8,1.6,3.9,compound,,,,,,,
Fabales,Fabaceae,Acacia,grasbyi,4.09,44.86,14.06,"Phyllodes 3–10 cm long, 1–1.5 mm wide; pulvinus very short",https://apps.lucidcentral.org/wattle/text/entities/acacia_grasbyi.htm,,3,10,,,,,0.1,0.15,compound,,,¿Los filodios se tomarían como hojas?,,,,
Fabales,Fabaceae,Acacia,greggii,2.63,52.07,15.05,"Leaves alternate, deciduous, bipinnately compound; 2.5-7.6 cm long.",https://herbanwmex.net/portal/taxa/index.php?taxon=1579&clid=2748,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.p03103427; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.p03103427,2.5,7.6,0.3,0.7,,,1.1,2.5,compound,,,"El ancho de las láminas y largo de los peciolos se obtuvieron de ejemplares de herbario, ya que la descripción no contaba con estos datos.",,,,
Fabales,Fabaceae,Acacia,latescens,6.80,82.83,22.32,"Phyllodes 8–26 cm long, (0.4–) 0.5–1.5 (–2) cm wide, pulvinus 2–4 mm long.",https://apps.lucidcentral.org/wattle/text/entities/acacia_latescens.htm,,8,26,,,,,0.5,1.5,compound,,,¿Los filodios se tomarían como hojas?,,,,
Fabales,Fabaceae,Acacia,spirorbis,6.07,81.55,15.12,"Phyllodes 9–17 cm long, 6–16 mm wide; pulvinus 2–4 mm long,",http://worldwidewattle.com/speciesgallery/spirorbis.php,,9,17,,,,,0.6,1.6,compound,,,¿Los filodios se tomarían como hojas?,,,,
Fabales,Fabaceae,Amburana,cearensis,6.67,74.83,16.67,"Hojas compuestas, de 8-25 cm de largo, de los cuales 2-3 cm corresponden al pecíolo, folíolos alternos 7-12 por hoja, limbo de 2-5 cm de largo por 1,5-3cm de ancho; peciólulos de 1,5-3 mm de largo.",https://sib.gob.ar/especies/amburana-cearensis,,8,25,2,3,6,22,4.3,6.6,compound,,,,,,,
Fabales,Fabaceae,Anadenanthera,colubrina,7.55,60.50,13.19,"Hojas alternas, compuestas, bipinnadas, raquis primario de 7-20 cm de largo (incluido el pecíolo), con 7-20 pares de raquis secundarios, opuestos, cada uno de éstos de 3-6 cm de largo.",https://sib.gob.ar/especies/anadenanthera-colubrina,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.k000504690; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.k000504685,10,26,1.1,3.5,5.9,22.5,6,12,compound,,,El tamaño del peciolo se obtuvo de ejemplares de herbario ya que la descripción no contaba con ese dato.,,,,
Fabales,Fabaceae,Arthroclianthus,grandifolius,6.15,73.07,15.98,Hojas 13.7-17.6 cm de largo; peciolos 17-26 mm de largo; láminas 12-15 x 6.2-8 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.bm000797825,13.7,17.6,1.7,2.6,12,15,6.2,8,compound,,,,,,,
Fabales,Fabaceae,Astragalus,circumdatus,0.13,11.75,5.92,Hojas 2.7-5.6 cm de largo; peciolos 11-18 mm de largo; láminas 1.6-3.8 x 0.6-1.1 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.uc82570; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.ndg26902,2.7,5.6,1.1,1.8,1.6,3.8,0.6,1.1,compound,,,,,,,
Fabales,Fabaceae,Bauhinia,cheilantha,4.96,34.55,12.18,Hojas 3.4-12.7 cm de largo; peciolos 6.5-24 mm de largo; láminas 2.8-10.3 x 3.1-10 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.m0217265 http://legacy.tropicos.org/Image/100421499,3.4,12.7,0.65,2.4,2.8,10.3,3.1,10,simple,,,,,,,
Fabales,Fabaceae,Bauhinia,rufa,4.22,55.53,10.74,Hojas 6.3-15.1 cm de largo; peciolos 8-24 mm de largo; láminas 5.5-12.7 x 5.7-9.4 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.m0217209;https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.k000264680 ,6.3,15.1,0.8,2.4,5.5,12.7,5.7,9.4,simple,,,,,,,
Fabales,Fabaceae,Caesalpinia,gardneriana,6.23,49.10,14.26,Hojas 7.6-14.3 cm de largo; peciolos 17-27 mm de largo; láminas 5.9-11.6 x 7.9-15 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.k000056142; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.bm000952024,7.6,14.3,1.7,2.7,5.9,11.6,7.9,15,compound,,,,,,,
Fabales,Fabaceae,Cercidium,peninsulare,7.74,60.37,10.41,Hojas 1.2-2.9 cm de largo; peciolos 2.5-8 mm de largo; láminas 1.4-2.1 x 0.9-1.5 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.us00376042; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.us00376032,1.2,2.9,0.25,0.8,1.4,2.1,0.9,1.5,compound,,,,,,,
Fabales,Fabaceae,Chamaecrista,zygophylloides,2.87,33.71,10.62,"Hojas 2–6.5 cm de largo; folíolos 2 pares, 9–25 mm de largo y 4–15 mm de ancho; nectario ausente, pecíolos 17–38 mm de largo.",http://legacy.tropicos.org/NamePage.aspx?nameId=13048844&projectId=7,,2,6.5,1.7,3.8,,,,,compound,,,,,,,
Fabales,Fabaceae,Chloroleucon,foliolosum,5.68,59.97,14.56,Hojas 4.7-10.2 cm de largo; peciolos 5-22 mm de largo; láminas 4.2-8 x 3.8-7.6 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.k000091724; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.k000091721,4.7,10.2,0.5,2.2,4.2,8,3.8,7.6,compound,,,,,,,
Fabales,Fabaceae,Cynometra,oaxacana,9.71,74.35,24.67,"Foliolis unijugis 3.5-6 cm longis, 2.7-3.7 cm latis; petiolis ca. 4 mm longis.",https://www.biodiversitylibrary.org/page/3424793#page/234/mode/1up,,3.9,6.4,0.4,0.4,3.5,6,2.7,3.7,simple,,,,,,,
Fabales,Fabaceae,Cytisus,scoparius,3.17,43.27,10.91,Hojas 0.7-1.8 cm de largo; peciolos 2-8 mm de largo; láminas 0.5-1 x 0.5-1.2 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.bm000750867; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.k000226813; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.bm000750866,0.7,1.8,0.2,0.8,0.5,1,0.5,1.2,compound,,,,,,,
Fabales,Fabaceae,Dussia,mexicana,30.00,232.91,52.56,Hojas 33.1-64.4 cm de largo; peciolos 9.1-20.5 cm de largo; láminas 24-43.9 x 18.1-44.4 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.mo-121775; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.uc169277; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.bm000952004; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.gh00064552; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.uc169275,33.1,64.4,9.1,20.5,24,43.9,18.1,44.4,compound,,,,,,,
Fabales,Fabaceae,Ebenopsis,confinis,0.70,39.72,11.51,Hojas 2.1-3.5 cm de largo; peciolos 5-13 mm de largo; láminas 1.6-2.2 x 1.3-2.4 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.us00000334; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.ny00329601,2.1,3.5,0.5,1.3,1.6,2.2,1.3,2.4,compound,,,,,,,
Fabales,Fabaceae,Entada,phaseoloides,55.00,250.26,46.64,Hojas 10.5-20.4 cm de largo; peciolos 2-7.4 cm de largo; láminas 8.5-13 x 5.9-10.2 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.k000232167; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.br0000009862012; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.br0000008916969; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.ld1750308,10.5,20.4,2,7.4,8.5,13,5.9,10.2,compound,,,,,,,
Fabales,Fabaceae,Entada,polystachya,22.43,271.96,51.00,"Leaves large, bipinnate, the pinnae commonly about 4 pair, opposite, the leaflets mostly 5-8 pairs per pinna; petiole mostly 4-8 cm. long; rachis similar to the petiole, eglandular; pinnae usually 6-15 cm. long; leaflets oblong, 15-40 mm. long and 5-18 mm. wide,",http://legacy.tropicos.org/NamePage.aspx?nameId=13030073&projectId=56,,16.1,30.8,4,8,,,3,8,compound,31.5,,,,,,
Fabales,Fabaceae,Erythrina,flabelliformis,3.79,104.17,19.78,Hojas 11.5-19.6 cm de largo; peciolos 5-8.7 cm de largo; láminas 6.5-10.9 x 5.8-9.8 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.ny00007885?page=3; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.gh00303769; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.bm000931450; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.rsa0026570 ,11.5,19.6,5,8.7,6.5,10.9,5.8,9.8,compound,,,,,,,
Fabales,Fabaceae,Erythrina,lanata,4.96,119.02,26.13,Hojas 13.5-23.5 cm de largo; peciolos 6.3-9.6 cm de largo; láminas 7.2-13.9 x 8.4-15 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.us00004486; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.gh00066267; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.ny00007925 ,13.5,23.5,6.3,9.6,7.2,13.9,8.4,15,compound,,,,,,,
Fabales,Fabaceae,Gompholobium,latifolium,2.59,47.67,32.27,Hojas 0.85-1.76 cm de largo; peciolos 1.5-2.6 mm de largo; láminas 0.7-1.5 x 0.2-0.5 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.fi006890; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.br0000013349875; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.tcd0014383,0.85,1.76,0.15,0.26,0.7,1.5,0.2,0.5,compound,,,,,,,
Fabales,Fabaceae,Libidibia,ferrea,7.57,65.64,17.94,Hojas 10.6-15.1 cm de largo; peciolos 1.4-4.1 cm de largo; láminas 9.2-11 x 7.6-8.8 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.p02736442; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.bm000952025; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.m0217639,10.6,15.1,1.4,4.1,9.2,11,7.6,8.8,compound,,,,,,,
Fabales,Fabaceae,Lupinus,excubitus,0.09,23.00,10.62,"Leaf: cauline, clustered at base or not, generally silver-hairy; stipules 5-20 mm; petiole 4-15 cm; leaflets 7-10, 5-50 mm.",https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=31870,,3.2,15.9,4,15,,,,,compound,11.15,,,,,,
Fabales,Fabaceae,Lysiloma,candida,6.96,65.37,13.62,"Leaves 3-7 cm long: pinnae one or rarely two pairs; leaflets 4-7 pairs, 8-15 mm long",https://www.biodiversitylibrary.org/page/7133616#page/163/mode/1up,,3,7,,,,,,,compound,,,,,,,
Fabales,Fabaceae,Machaerium,cobanense,22.00,232.67,28.42,Hojas 7.8-18.6 cm de largo; peciolos 0.9-3.2 cm de largo; láminas 6.9-15.4 x 5.1-8 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.u0003558; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.uc617309; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.us00955761; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.g00371224;,7.8,18.6,0.9,3.2,6.9,15.4,5.1,8,compound,,,,,,,
Fabales,Fabaceae,Machaerium,floribundum,21.35,96.14,24.58,Hojas 20.2-41.3 cm de largo; peciolos 4.2-10.7 cm de largo; láminas 16.1-30.6 x 11-31.6 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.k000111347; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.rb00556214; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.mo-128889; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.gh00065194; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.k000530171;,20.2,41.3,4.2,10.7,16.1,30.6,11,31.6,compound,,,,,,,
Fabales,Fabaceae,Mimosa,ophthalmocentra,5.70,55.92,16.33,Hojas 1.94-3.3 cm de largo; peciolos 2.4-5 mm de largo; láminas 1.7-2.8 x 1.7-2.6 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.m0171172; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.m0171181; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.m0171183;,1.94,3.3,0.24,0.5,1.7,2.8,1.7,2.6,compound,,,,,,,
Fabales,Fabaceae,Mimosa,sp,0.96,41.03,13.26,DESCARTADA,,,,,,,,,,,,,,,,,,
Fabales,Fabaceae,Mimosa,tenuiflora,4.60,55.62,14.43,Hojas 4-8.5 cm de largo; peciolos 1-2.2 cm de largo; láminas 3-6.3 x 4.6-7.4 cm,,http://legacy.tropicos.org/Image/100510233; http://legacy.tropicos.org/Image/100510165; http://legacy.tropicos.org/Image/100510235; http://legacy.tropicos.org/Image/100510163;,4,8.5,1,2.2,3,6.3,4.6,7.4,compound,,,,,,,
Fabales,Fabaceae,Ottleya,rigida,0.54,21.08,13.11,Hojas 1.3-2.4 cm de largo; peciolos 1-3 mm de largo; láminas 1.2-2.1 x 1-2.6 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.rsa0053432; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.k000873319;,1.3,2.4,0.1,0.3,1.2,2.1,1,2.6,compound,,,,,,,
Fabales,Fabaceae,Piptadenia,stipulacea,6.50,67.94,14.90,Hojas 5.1-15.9 cm de largo; peciolos 1.7-4.4 cm de largo; láminas 3.4-11.5 x 2.8-4 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.k000057454; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.m0218755; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.k000057453;,5.1,15.9,1.7,4.4,3.4,11.5,2.8,4,compound,,,,,,,
Fabales,Fabaceae,Psorothamnus,arborescens,1.19,32.08,8.00,Hojas 1.6-2.9 cm de largo; peciolos 6-12 mm de largo; láminas 1-1.7 x 0.8-1.8 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.k000848897; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.k000848895;,1.6,2.9,0.6,1.2,1,1.7,0.8,1.8,compound,,,,,,,
Fabales,Fabaceae,Stryphnodendron,adstringens,4.13,122.84,21.93,Hojas 24.8-34.8 cm de largo; peciolos 4.5-5.8 cm de largo; láminas 20.3-29 x 15.1-18.2 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.m0218791; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.tub009708; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.tub009707,24.8,34.8,4.5,5.8,20.3,29,15.1,18.2,compound,,,,,,,
Fabales,Fabaceae,Stylosanthes,viscosa,0.93,22.15,11.15,Hojas 0.7-1.5 cm de largo; peciolos 2-5 mm de largo; láminas 0.5-1 x 0.8-1.2 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.m0233801; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.rsa0026514; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.s-r-5988; ,0.7,1.5,0.2,0.5,0.5,1,0.8,1.2,compound,,,,,,,
Fabales,Fabaceae,Syrmatium,glabrum,1.57,27.37,13.65,Hojas 1.2-3 cm de largo; peciolos 2-6 mm de largo; láminas 1-2.4 x 1.4-3.2 cm,,http://mam.ansp.org/image/CHRB/Fullsize/0034/CHRB0034599.jpg; http://mam.ansp.org/image/CHRB/Fullsize/0034/CHRB0034603.jpg; http://mam.ansp.org/image/CHRB/Fullsize/0034/CHRB0034604.jpg;,1.2,3,0.2,0.6,1,2.4,1.4,3.2,compound,,,,,,,
Fabales,Fabaceae,Ulex,gallii,1.60,36.16,9.81,"Filodios primarios 5-8 mm,triangular-lanceolados o linear-lanceolados, espinescentes, patentes, ciliadosen los márgenes, pubescentes o glabros; los secundarios lanceolado-lineares,con frecuencia casi tan largos como su espina (hasta 3 cm de largo).",https://www.floravascular.com/index.php?spp=Ulex%20gallii,,0.5,3,,,,,,,compound,,,,,,,
Fabales,Fabaceae,Vatairea,lundellii,32.50,170.00,37.02,"Hojas imparipinnadas, 14–46 cm de largo; folíolos 11–25, alternos o subopuestos, elípticos, ovado-elípticos u ovado-lanceolados, 4.5–12 cm de largo y 2.5–4.5 cm de ancho.",http://legacy.tropicos.org/NamePage.aspx?nameId=13007150&projectId=7,,14,46,,,,,5,9,compound,,,,,,,
Fabales,Polygalaceae,Comesperma,ericinum,1.17,20.05,12.36,"Leaves oblong to linear, 5–25 mm long, 1–4 mm wide. Racemes terminal, 2–4 cm long, often clustered near the top of the stems; pedicels 4–6 mm long.",https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Comesperma~ericinum,,,,0.4,0.6,0.5,2.5,0.1,0.4,simple,,,,,,,
Fagales,Betulaceae,Alnus,glutinosa,12.04,53.27,9.13,"Petioles 11–32 mm long (the longest petioles on a branch always longer than 2 cm). Leaf blades usually almost circular, occasionally very broadly obovate, 4–12 cm long, 4–10 cm wide,",http://legacy.tropicos.org/NamePage.aspx?nameId=3600001&projectId=23,,,,11,32,4,12,4,10,simple,,,,,,,
Fagales,Betulaceae,Betula,lenta,18.07,90.43,11.86,"Fuente 1: lvs ovate or ovate-oblong, 5–10 cm, acute or short-acuminate / Fuente 2: Leaves ovate or ovate-oblong, mostly heart-shaped at the base, pointed, 21⁄2 to 6 in. long, 11⁄2 to 31⁄2 in. wide, toothed (often doubly so), dark glossy green and ultimately glabrous above, paler green and silky-hairy on the midrib and veins beneath; veins in ten to thirteen pairs; leaf-stalk 1⁄4 to 1 in. long, hairy. ",Fuente 1: http://www.worldfloraonline.org/taxon/wfo-0000334091  / Fuente 2: https://treesandshrubsonline.org/articles/betula/betula-lenta/,,,,0.635,2.54,5,15.24,3.31,8.89,simple,,,,,,,
Fagales,Betulaceae,Betula,pubescens,7.07,55.53,11.97,"Fuente 1: Leaves broadly ovate, 11⁄2 to 21⁄2 in. long, 1 to 2 in. wide; usually tapered, sometimes rounded or slightly heart-shaped at the base; pointed, coarsely toothed; upper surface thinly downy at first; lower one downy on the midrib and veins, sometimes only in the vein-axils, sometimes over the whole surface; veins in five to seven pairs; stalk more or less downy, 1⁄3 to 3⁄4 in. long.",,,,,0.84,1.9,3.81,6.35,2.54,5.08,simple,,,,,,,
