 order,family,genus,species,Stem Length Meters,VDbase µm (Vessel diameter stem base micrometers),VDtip µm (Vessel diameter stem tip micrometers),Datos crudos sobre hojas,Fuente general,Fuente herbario,Mín. longitud total de la hoja (cm),Máx. longitud total de la hoja (cm),Mín. longitud del peciolo (cm),Máx. longitud del peciolo (cm),Mín. longitud de la lámina (cm),Máx. longitud de la lámina (cm),Mín. ancho de hoja o lámina (cm),Máx. ancho de hoja o lámina (cm),Tipo de hoja (simple/compuesta),Long hoja (cm),Ancho hoja (cm),NOTAS
Dipsacales,Adoxaceae,Sambucus,nigra,9.75,83.27,33.19,,,,,,,,,,,,,,,
Dipsacales,Adoxaceae,Viburnum,acerifolium,0.97,28.43,14.35,,,,,,,,,,,,,,,
Dipsacales,Adoxaceae,Viburnum,caudatum,5.84,51.26,17.67,"Leaves ovate to rhombic-ovate, 9-13 cm long, 5-9 cm broad. Petioles 8 - 12 mm, largo",https://www.biodiversitylibrary.org/page/8835480#page/261/mode/1up,,9,13,0.8,1.2,,,5,9,Simple,,,
Dipsacales,Adoxaceae,Viburnum,hartwegii,4.03,62.56,14.27,"Hojas elípticas a oblongo-lanceoladas, (4)5-10 cm de largo y (1.5)2-4 cm de ancho",http://www.worldfloraonline.org/taxon/wfo-0000421057,,5,10,2,4,,,,,Simple,,,
Dipsacales,Adoxaceae,Viburnum,jucundum,6.28,58.79,20.20,"Petiole of the larger leave about 3mm-16 mm, larger leaves, 13 cm long,  9 cm wide",https://www.biodiversitylibrary.org/page/383243#page/442/mode/1up,,,,0.3,1.6,,,,,Simple,13,9,Sólo se indican las medidas de las hojas más grandes (larger leaves)
Dipsacales,Adoxaceae,Viburnum,lantanoides,2.62,30.47,15.60,,,,,,,,,,,,,,,
Dipsacales,Adoxaceae,Viburnum,microcarpum,6.90,51.27,19.47,,,,,,,,,,,,,,,
Dipsacales,Adoxaceae,Viburnum,tiliifolium,6.88,61.80,24.08,,,,,,,,,,,,,,,
Dipsacales,Caprifoliaceae,Abelia,xgrandiflora,3.17,25.45,13.08,,,,,,,,,,,,,,,
Dipsacales,Caprifoliaceae,Lonicera,japonica,3.78,42.75,15.82,"Petiole 3-8 , leaf blade ovate or oblong to lanceolate, 3-8 x 1.5-4 cm; Hojas ovadas a elípticas 4-7 cm de largo y 2-3 cm de ancho",Flora de China; Flora de Nicaragua,,,,3,8,3,8,1.5,4,Simple,,,
Dipsacales,Caprifoliaceae,Lonicera,subspicata,2.95,28.36,16.75,Leaves about 1 inch,https://www.biodiversitylibrary.org/page/404407#page/439/mode/1up,,,,,,,,,,,,,
Dipsacales,Caprifoliaceae,Symphoricarpos,mollis,1.51,25.16,11.21,,,,,,,,,,,,,,,
Dipsacales,Caprifoliaceae,Symphoricarpos,rotundifolius,0.49,20.75,11.71,,,,,,,,,,,,,,,
Dipsacales,Cornaceae,Cornus,alternifolia,4.57,46.67,12.98,,,,,,,,,,,,,,,
Ericales,Actinidiaceae,Actinidia,deliciosa,11.60,196.43,39.64,,,,,,,,,,,,,,,
Ericales,Actinidiaceae,Saurauia,scabrida,8.07,108.47,38.51,"Hojas simples, alternas, láminas elípticas, de 10 a 30 x 6 a 15",Flora de Los Tuxtlas (Cornejo-Tenorio et al. 2019),,10,30,,,,,6,15,Simple,,,
Ericales,Clethraceae,Clethra,alnifolia,2.78,36.35,12.32,"Petiole 2.5-3.5(6) cm, blade obovate to oblong(widest to midpoint), 5-9(-12) x 2-4(-6) cm",http://beta.floranorthamerica.org/Clethra_alnifolia,,,,,,,,,,,,,
Ericales,Ebenaceae,Diospyros,intricata,2.22,33.81,8.36,,,,,,,,,,,,,,,
Ericales,Ericaceae,Arctostaphylos,glandulosa,2.14,22.79,9.58,"Petiole 5-10 mm, blade bright green... elliptic to ovate 2-4.5 x 1-2.5 cm",http://www.worldfloraonline.org/taxon/wfo-0000543512,,,,,,,,,,,,,
Ericales,Ericaceae,Arctostaphylos,patula,1.38,22.28,9.42,"Petiole 7-15 mm,  blade... ovate to orbiculate, 2.5-6 x 1.5-4",,,,,,,,,,,,,,
Ericales,Ericaceae,Arctostaphylos,peninsularis,1.47,25.70,9.62,,,,,,,,,,,,,,,
Ericales,Ericaceae,Arctostaphylos,pringlei,1.72,21.36,9.36,,,,,,,,,,,,,,,
Ericales,Ericaceae,Arctostaphylos,uva_ursi,1.05,24.50,9.04,,,,,,,,,,,,,,,
Ericales,Ericaceae,Calluna,vulgaris,0.69,21.42,12.43,,,,,,,,,,,,,,,
Ericales,Ericaceae,Cyathodes,straminea,0.53,25.19,9.87,,,,,,,,,,,,,,,
Ericales,Ericaceae,Daboecia,cantabrica,0.70,16.90,8.85,,,,,,,,,,,,,,,
Ericales,Ericaceae,Disterigma,alaternoides,0.74,21.97,10.84,,,,,,,,,,,,,,,
Ericales,Ericaceae,Dracophyllum,ramosum,3.35,65.76,9.40,,,,,,,,,,,,,,,
Ericales,Ericaceae,Dracophyllum,verticillatum,3.33,31.98,37.11,,,,,,,,,,,,,,,
Ericales,Ericaceae,Erica,cinerea,1.00,19.19,9.90,,,,,,,,,,,,,,,
Ericales,Ericaceae,Erica,vagans,0.95,25.13,14.23,,,,,,,,,,,,,,,
Ericales,Ericaceae,Gaultheria,aff_glomerata,0.58,18.29,10.82,,,,,,,,,,,,,,,
Ericales,Ericaceae,Gaultheria,foliolosa,2.93,34.82,11.12,,,,,,,,,,,,,,,
Ericales,Ericaceae,Gaultheria,hispida,0.77,25.14,12.91,,,,,,,,,,,,,,,
Ericales,Ericaceae,Gaultheria,mucronata,0.69,25.46,9.87,,,,,,,,,,,,,,,
Ericales,Ericaceae,Gaultheria,reticulata,1.18,21.77,9.47,,,,,,,,,,,,,,,
Ericales,Ericaceae,Kalmia,latifolia,2.82,30.14,11.85,,,,,,,,,,,,,,,
Ericales,Ericaceae,Leptecophylla,juniperina,0.58,21.55,6.49,,,,,,,,,,,,,,,
Ericales,Ericaceae,Lyonia,ligustrina,2.30,26.79,12.26,,,,,,,,,,,,,,,
Ericales,Ericaceae,Rhododendron,ferrugineum,0.66,17.27,10.44,,,,,,,,,,,,,,,
Ericales,Ericaceae,Richea,pandanifolia,2.07,30.89,5.83,,,,,,,,,,,,,,,
Ericales,Ericaceae,Richea,scoparia,1.20,22.54,8.19,,,,,,,,,,,,,,,
Ericales,Ericaceae,Richea,sprengelioides,0.62,17.82,8.53,,,,,,,,,,,,,,,
Ericales,Ericaceae,Styphelia,cymbulae,5.42,54.00,11.76,,,,,,,,,,,,,,,
Ericales,Ericaceae,Trochocarpa,cunninghamii,0.77,24.85,6.37,,,,,,,,,,,,,,,
Ericales,Ericaceae,Trochocarpa,laurina,4.69,35.69,9.78,,,,,,,,,,,,,,,
Ericales,Ericaceae,Vaccinium,corymbosum,2.77,31.64,9.89,,,,,,,,,,,,,,,
Ericales,Ericaceae,Vaccinium,myrtillus,0.65,18.52,9.56,,,,,,,,,,,,,,,
Ericales,Fouquieriaceae,Fouquieria,diguetii,4.94,73.94,13.28,,,,,,,,,,,,,,,
Ericales,Primulaceae,Bonellia,macrocarpa_subsp_pungens,9.30,65.20,8.84,,,,,,,,,,,,,,,
Ericales,Primulaceae,Myrsine,guianensis,3.31,66.20,17.80,,,,,,,,,,,,,,,
Ericales,Primulaceae,Myrsine,sp,1.49,18.20,9.53,,,,,,,,,,,,,,,
Ericales,Sapotaceae,Pouteria,campechiana,21.92,97.91,14.66,"Hojas 7.9-25(-33) × 2.7-7(-15) cm. Leaves with petioles 6-33 mm long; blades 6.5-30 cm long, 2-8.5 cm broad",http://legacy.tropicos.org/NamePage.aspx?nameId=28700384&projectId=3; http://legacy.tropicos.org/NamePage.aspx?nameId=28700384&projectId=56,,7.1,33.3,0.6,3.3,6.5,30,2,8,simple,,,Se sumaron los datos de ambas fuentes para obtener los valores.
Ericales,Sapotaceae,Sideroxylon,obtusifolium,8.72,58.42,10.13,"Hojas (1.2–) 3.5–6.3 (–8.5) cm de largo y (0.4–) 1.5–2.5 (–4) cm de ancho,",http://legacy.tropicos.org/NamePage.aspx?nameId=28700840&projectId=7,,3.5,6.3,,,,,1.5,2.5,simple,,,
Ericales,Styracaceae,Styrax,argenteus,19.00,99.45,33.13,Hojas con pecíolos 10-25 mm. Lámina 6.5-18 × 4-7.5 cm.,http://legacy.tropicos.org/NamePage.aspx?nameId=30800007&projectId=3,,7.5,20.5,1,2.5,6.5,18,4,7.5,simple,,,
Ericales,Symplocaceae,Symplocos,celastrifolia,7.27,68.07,17.03,Leaves 3.5 by 1.5-1.75 inch.; petiole 0.2 inch.,https://www.biodiversitylibrary.org/page/456171#page/579/mode/1up,,0.5,,,,,,3.8,4.4,simple,8.9,,
Ericales,Symplocaceae,Symplocos,cf_reflexa,0.74,47.82,24.03,Hojas 5.1-7.1 cm de largo; peciolos 2.7-3.8 mm de largo; láminas 4.8-6.7 x 2.2-3.4 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.g00359201; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.g00359202,5.1,7.1,0.27,0.38,4.8,6.7,2.2,3.4,simple,,,
Escalloniales,Escalloniaceae,Anopterus,glandulosus,3.98,35.37,18.02,Hojas 7.9-22 cm de largo; peciolos .52-21 mm de largo; láminas 7.4-19.9 x 1.7-3.3 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.gh00042621; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.hal0117678,7.9,22,0.52,2.1,7.4,19.9,1.7,3.3,simple,,,
Escalloniales,Escalloniaceae,Escallonia,rubra,0.93,22.79,8.72,Hojas 1.8-4.5 cm de largo; peciolos 1.4-4.6 mm de largo; láminas 1.7-4 x 0.9-1.6 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.bc873140; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.p00709590; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.f0043021f,1.8,4.5,0.14,0.46,1.7,4,0.9,1.6,simple,,,
Escalloniales,Escalloniaceae,Escallonia,virgata,2.15,27.24,6.99,Hojas 0.6-1.7 x .15-.5 cm; subsésiles.,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.g00388756; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.g00439962; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.p00709616,0.6,1.7,,,,,0.15,0.5,simple,,,
Escalloniales,Escalloniaceae,Polyosma,rhytophloia,7.99,61.09,20.09,"Leaf blade, 9-14 by 2.5-4 cm; petioles 9-21 mm long",https://www.biodiversitylibrary.org/page/48577016#page/192/mode/1up,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.k000739772,9.9,16.1,0.9,2.1,9,14,2.5,4,simple,,,"El ancho de las láminas se obtuvo del holotipo, ya que la descripción no contaba con ese dato."
Fabales,Fabaceae,Acacia,binervia,8.93,89.80,19.53,"Phyllodes (4-)6–15 cm long, 5–23 mm wide; pulvinus 1.5–5 mm long",https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Acacia~binervia,,,,,,,,,,compuesta,,,¿Los filodios se tomarían como hojas?
Fabales,Fabaceae,Acacia,farnesiana,5.05,66.95,8.18,Hojas 1.8-5.7 cm de largo; peciolos 3-9 mm de largo; láminas 1.5-4.8 x 1.6-3.9 cm,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.rsa0023982; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.ma666107; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.mo-125063,1.8,5.7,0.3,0.9,1.5,4.8,1.6,3.9,compuesta,,,
Fabales,Fabaceae,Acacia,grasbyi,4.09,44.86,14.06,"Phyllodes 3–10 cm long, 1–1.5 mm wide; pulvinus very short",https://apps.lucidcentral.org/wattle/text/entities/acacia_grasbyi.htm,,,,,,,,,,compuesta,,,¿Los filodios se tomarían como hojas?
Fabales,Fabaceae,Acacia,greggii,2.63,52.07,15.05,"Leaves alternate, deciduous, bipinnately compound; 2.5-7.6 cm long.",https://herbanwmex.net/portal/taxa/index.php?taxon=1579&clid=2748,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.p03103427; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.p03103427,2.5,7.6,0.3,0.7,,,1.1,2.5,compuesta,,,"El ancho de las láminas y largo de los peciolos se obtuvieron de ejemplares de herbario, ya que la descripción no contaba con estos datos."
Fabales,Fabaceae,Acacia,latescens,6.80,82.83,22.32,"Phyllodes 8–26 cm long, (0.4–) 0.5–1.5 (–2) cm wide, pulvinus 2–4 mm long.",https://apps.lucidcentral.org/wattle/text/entities/acacia_latescens.htm,,,,,,,,,,compuesta,,,¿Los filodios se tomarían como hojas?
Fabales,Fabaceae,Acacia,spirorbis,6.07,81.55,15.12,"Phyllodes 9–17 cm long, 6–16 mm wide; pulvinus 2–4 mm long,",http://worldwidewattle.com/speciesgallery/spirorbis.php,,,,,,,,,,compuesta,,,¿Los filodios se tomarían como hojas?
Fabales,Fabaceae,Amburana,cearensis,6.67,74.83,16.67,"Hojas compuestas, de 8-25 cm de largo, de los cuales 2-3 cm corresponden al pecíolo, folíolos alternos 7-12 por hoja, limbo de 2-5 cm de largo por 1,5-3cm de ancho; peciólulos de 1,5-3 mm de largo.",https://sib.gob.ar/especies/amburana-cearensis,,8,25,2,3,6,22,4.3,6.6,compuesta,,,
Fabales,Fabaceae,Anadenanthera,colubrina,7.55,60.50,13.19,"Hojas alternas, compuestas, bipinnadas, raquis primario de 7-20 cm de largo (incluido el pecíolo), con 7-20 pares de raquis secundarios, opuestos, cada uno de éstos de 3-6 cm de largo.",https://sib.gob.ar/especies/anadenanthera-colubrina,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.k000504690; https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.k000504685,10,26,1.1,3.5,5.9,22.5,6,12,compuesta,,,El tamaño del peciolo se obtuvo de ejemplares de herbario ya que la descripción no contaba con ese dato.
Fabales,Fabaceae,Arthroclianthus,grandifolius,6.15,73.07,15.98,,,,,,,,,,,,,,,
Fabales,Fabaceae,Astragalus,circumdatus,0.13,11.75,5.92,,,,,,,,,,,,,,,
Fabales,Fabaceae,Bauhinia,cheilantha,4.96,34.55,12.18,,,,,,,,,,,,,,,
Fabales,Fabaceae,Bauhinia,rufa,4.22,55.53,10.74,,,,,,,,,,,,,,,
Fabales,Fabaceae,Caesalpinia,gardneriana,6.23,49.10,14.26,,,,,,,,,,,,,,,
Fabales,Fabaceae,Cercidium,peninsulare,7.74,60.37,10.41,,,,,,,,,,,,,,,
Fabales,Fabaceae,Chamaecrista,zygophylloides,2.87,33.71,10.62,,,,,,,,,,,,,,,
Fabales,Fabaceae,Chloroleucon,foliolosum,5.68,59.97,14.56,,,,,,,,,,,,,,,
Fabales,Fabaceae,Cynometra,oaxacana,9.71,74.35,24.67,,,,,,,,,,,,,,,
Fabales,Fabaceae,Cytisus,scoparius,3.17,43.27,10.91,,,,,,,,,,,,,,,
Fabales,Fabaceae,Dussia,mexicana,30.00,232.91,52.56,,,,,,,,,,,,,,,
Fabales,Fabaceae,Ebenopsis,confinis,0.70,39.72,11.51,,,,,,,,,,,,,,,
Fabales,Fabaceae,Entada,phaseoloides,55.00,250.26,46.64,,,,,,,,,,,,,,,
Fabales,Fabaceae,Entada,polystachya,22.43,271.96,51.00,,,,,,,,,,,,,,,
Fabales,Fabaceae,Erythrina,flabelliformis,3.79,104.17,19.78,,,,,,,,,,,,,,,
Fabales,Fabaceae,Erythrina,lanata,4.96,119.02,26.13,,,,,,,,,,,,,,,
Fabales,Fabaceae,Gompholobium,latifolium,2.59,47.67,32.27,,,,,,,,,,,,,,,
Fabales,Fabaceae,Libidibia,ferrea,7.57,65.64,17.94,,,,,,,,,,,,,,,
Fabales,Fabaceae,Lupinus,excubitus,0.09,23.00,10.62,,,,,,,,,,,,,,,
Fabales,Fabaceae,Lysiloma,candida,6.96,65.37,13.62,,,,,,,,,,,,,,,
Fabales,Fabaceae,Machaerium,cobanense,22.00,232.67,28.42,,,,,,,,,,,,,,,
Fabales,Fabaceae,Machaerium,floribundum,21.35,96.14,24.58,,,,,,,,,,,,,,,
Fabales,Fabaceae,Mimosa,ophthalmocentra,5.70,55.92,16.33,,,,,,,,,,,,,,,
Fabales,Fabaceae,Mimosa,sp,0.96,41.03,13.26,,,,,,,,,,,,,,,
Fabales,Fabaceae,Mimosa,tenuiflora,4.60,55.62,14.43,,,,,,,,,,,,,,,
Fabales,Fabaceae,Ottleya,rigida,0.54,21.08,13.11,,,,,,,,,,,,,,,
Fabales,Fabaceae,Piptadenia,stipulacea,6.50,67.94,14.90,,,,,,,,,,,,,,,
Fabales,Fabaceae,Psorothamnus,arborescens,1.19,32.08,8.00,,,,,,,,,,,,,,,
Fabales,Fabaceae,Stryphnodendron,adstringens,4.13,122.84,21.93,,,,,,,,,,,,,,,
Fabales,Fabaceae,Stylosanthes,viscosa,0.93,22.15,11.15,,,,,,,,,,,,,,,
Fabales,Fabaceae,Syrmatium,glabrum,1.57,27.37,13.65,,,,,,,,,,,,,,,
Fabales,Fabaceae,Ulex,gallii,1.60,36.16,9.81,,,,,,,,,,,,,,,
Fabales,Fabaceae,Vatairea,lundellii,32.50,170.00,37.02,,,,,,,,,,,,,,,
Fabales,Polygalaceae,Comesperma,ericinum,1.17,20.05,12.36,Ericka,,,,,,,,,,,,,,
Fagales,Betulaceae,Alnus,glutinosa,12.04,53.27,9.13,"Petioles 11–32 mm long (the longest petioles on a branch always longer than 2 cm). Leaf blades usually almost circular, occasionally very broadly obovate, 4–12 cm long, 4–10 cm wide,",http://legacy.tropicos.org/NamePage.aspx?nameId=3600001&projectId=23,,,,11,32,4,12,4,10,simple,,,
Fagales,Betulaceae,Betula,lenta,18.07,90.43,11.86,"Fuente 1: lvs ovate or ovate-oblong, 5–10 cm, acute or short-acuminate / Fuente 2: Leaves ovate or ovate-oblong, mostly heart-shaped at the base, pointed, 21⁄2 to 6 in. long, 11⁄2 to 31⁄2 in. wide, toothed (often doubly so), dark glossy green and ultimately glabrous above, paler green and silky-hairy on the midrib and veins beneath; veins in ten to thirteen pairs; leaf-stalk 1⁄4 to 1 in. long, hairy. ",Fuente 1: http://www.worldfloraonline.org/taxon/wfo-0000334091  / Fuente 2: https://treesandshrubsonline.org/articles/betula/betula-lenta/,,,,0.635,2.54,5,15.24,3.31,8.89,simple,,,"Dos fuentes diferentes con infomacion de las hojas, se tomo el valor mas pequeño para los valores minimos de X estructura y el valor maximo para X estructura"
Fagales,Betulaceae,Betula,pubescens,7.07,55.53,11.97,"Fuente 1: Leaves broadly ovate, 11⁄2 to 21⁄2 in. long, 1 to 2 in. wide; usually tapered, sometimes rounded or slightly heart-shaped at the base; pointed, coarsely toothed; upper surface thinly downy at first; lower one downy on the midrib and veins, sometimes only in the vein-axils, sometimes over the whole surface; veins in five to seven pairs; stalk more or less downy, 1⁄3 to 3⁄4 in. long.",,,,,0.84,1.9,3.81,6.35,2.54,5.08,simple,,,
Fagales,Betulaceae,Carpinus,caroliniana,7.50,48.12,12.52,"Fuente 1: Leaves (1.5-)3-13 × (0.8-)1.5-5 cm / Fuente 2: Leaves oval or ovate, 2 to 4 in. long, 1 to 2 in. wide; rounded or heart-shaped at the base, taper-pointed, sharply and often doubly toothed; covered with white silky hairs when quite young, becoming sparsely hairy above, downy on the midrib and vein-axils beneath; stalk 1⁄4 to 1⁄2 in. long, downy.",Fuente 1: https://www.tropicos.org/docs/meso/betulaceae.pdf / Fuente 2: https://treesandshrubsonline.org/articles/carpinus/carpinus-caroliniana/,,3,13,0.635,1.27,5.04,10.16,1.5,5,simple,,,Sinonimo de Carpinus tropicalis
Fagales,Betulaceae,Corylus,avellana,3.20,35.57,10.01,"Leaves roundish or obovate, heart-shaped at the base, 2 to 4 in. long, 11⁄2 to 3 in. wide; the lower half irregularly toothed, the terminal half often shallowly lobed as well as toothed; downy on both surfaces, but especially beneath; stalk glandular-hairy, 1⁄4 to 1⁄2 in. long.",https://treesandshrubsonline.org/articles/corylus/corylus-avellana/,,,,0.635,1.27,5.08,10.16,3.81,7.52,simple,,,
Fagales,Betulaceae,Ostrya,virginiana,7.21,47.36,10.32,"Fuente 1: Leaves (1- )4.5-14 × (0.7-)2-6 cm / Fuente 2: Leaf blade narrowly ovate or elliptic to oblong-lanceolate, (5--)8--10(--13) × 4--5(--6) cm  /  Fuente 3: (peciolo)  talk 1⁄4 in. long, glandular downy. ",Fuente1: https://www.tropicos.org/docs/meso/betulaceae.pdf / Fuente 2: http://www.worldfloraonline.org/taxon/wfo-0000261470 / Fuente 3: https://treesandshrubsonline.org/articles/ostrya/ostrya-virginiana/,,4.5,14,,,8,10,2,6,simple,,,
Fagales,Casuarinaceae,Allocasuarina,distyla,1.00,27.93,12.54,,,,,,,,,,,,,,,
Fagales,Casuarinaceae,Casuarina,equisetifolia,14.70,92.08,9.62,,,,,,,,,,,,,,,
Fagales,Casuarinaceae,Gymnostoma,deplancheanum,7.73,115.69,15.00,,,,,,,,,,,,,,,
Fagales,Fagaceae,Castanea,sativa,6.75,84.62,15.95,,,,,,,,,,,,,,,
Fagales,Fagaceae,Fagus,sylvatica,11.57,49.00,9.26,,,,,,,,,,,,,,,
Fagales,Fagaceae,Quercus,alba,23.58,104.79,20.34,,,,,,,,,,,,,,,
Fagales,Fagaceae,Quercus,berberidifolia,3.81,88.00,17.98,,,,,,,,,,,,,,,
Fagales,Fagaceae,Quercus,chrysolepis,2.79,58.88,9.43,,,,,,,,,,,,,,,
Fagales,Fagaceae,Quercus,cornelius_mulleri,2.43,56.89,12.02,,,,,,,,,,,,,,,
Fagales,Fagaceae,Quercus,peninsularis,1.51,37.23,13.68,,,,,,,,,,,,,,,
Fagales,Fagaceae,Quercus,pyrenaica,6.23,102.36,13.15,,,,,,,,,,,,,,,
Fagales,Fagaceae,Quercus,robur,16.67,106.54,17.00,,,,,,,,,,,,,,,
Fagales,Fagaceae,Quercus,rubra,26.19,136.15,15.69,,,,,,,,,,,,,,,
Fagales,Juglandaceae,Carya,ovata,28.46,117.13,9.58,,,,,,,,,,,,,,,
Fagales,Myricaceae,Comptonia,peregrina,0.70,22.91,10.86,,,,,,,,,,,,,,,
Fagales,Myricaceae,Morella,sp,1.44,41.15,9.89,,,,,,,,,,,,,,,
Fagales,Nothofagaceae,Nothofagus,antarctica,7.73,39.62,8.86,,,,,,,,,,,,,,,
Fagales,Nothofagaceae,Nothofagus,cunninghamii,3.63,43.50,8.45,,,,,,,,,,,,,,,
Fagales,Nothofagaceae,Nothofagus,dombeyi,4.63,33.69,8.62,,,,,,,,,,,,,,,
Fagales,Nothofagaceae,Nothofagus,gunnii,6.29,35.70,8.02,,,,,,,,,,,,,,,
Fagales,Nothofagaceae,Nothofagus,pumilio,3.03,35.24,6.90,,,,,,,,,,,,,,,
Garryales,Garryaceae,Aucuba,japonica,0.57,22.64,11.96,,,,,,,,,,,,,,,
Garryales,Garryaceae,Garrya,grisea,1.28,20.27,8.65,,,,,,,,,,,,,,,
Garryales,Garryaceae,Garrya,laurifolia,8.80,55.86,19.36,,,,,,,,,,,,,,,
Gentianales,Apocynaceae,Allamanda,blanchetii,3.16,51.41,16.42,,,,,,,,,,,,,,,
Gentianales,Apocynaceae,Alyxia,leucogyne,3.73,53.16,13.11,,,,,,,,,,,,,,,
Gentianales,Apocynaceae,Araujia,sericifera,8.68,78.60,39.12,,,,,,,,,,,,,,,
Gentianales,Apocynaceae,Asclepias,subulata,0.76,19.97,10.49,,,,,,,,,,,,,,,
Gentianales,Apocynaceae,Aspidosperma,pyrifolium,6.53,40.05,11.75,,,,,,,,,,,,,,,
Gentianales,Apocynaceae,Cascabela,ovata,8.45,49.00,12.78,,,,,,,,,,,,,,,
Gentianales,Apocynaceae,Cerberiopsis,candelabra,7.98,69.25,18.35,,,,,,,,,,,,,,,
Gentianales,Apocynaceae,Forsteronia,acouci,20.20,135.68,26.96,"Hojas simples, opuestas, láminas elípticas, ovado-elípticas a obovadas, de de 3.5 a 12 x 1.5 a 6",Flora de Los Tuxtlas (Cornejo-Tenorio et al. 2019),,3.5,12,,,,,1.5,6,,,,
Gentianales,Apocynaceae,Plumeria,rubra,3.25,61.82,18.50,,,,,,,,,,,,,,,
Gentianales,Apocynaceae,Tonduzia,longifolia,4.44,25.77,17.82,,,,,,,,,,,,,,,
Gentianales,Apocynaceae,Vallesia,glabra,3.46,44.43,10.91,,,,,,,,,,,,,,,
Gentianales,Rubiaceae,Coprosma,nitida,1.91,28.77,6.44,,,,,,,,,,,,,,,
Gentianales,Rubiaceae,Morinda,jasminoides,5.97,99.27,30.90,,,,,,,,,,,,,,,
Gentianales,Rubiaceae,Palicourea,sp,0.81,23.56,10.41,,,,,,,,,,,,,,,
Gentianales,Rubiaceae,Pomax,umbellata,0.21,19.60,5.58,,,,,,,,,,,,,,,
Gentianales,Rubiaceae,Psychotria,rupicola,0.72,27.98,9.44,,,,,,,,,,,,,,,
Gentianales,Rubiaceae,Randia,capitata,2.64,28.39,13.54,,,,,,,,,,,,,,,
Gentianales,Rubiaceae,Thiollierea,macrophylla,1.64,30.96,13.31,,,,,,,,,,,,,,,
Geraniales,Geraniaceae,Pelargonium,hortorum,0.99,39.30,19.43,,,,,,,,,,,,,,,
Geraniales,Melianthaceae,Melianthus,major,1.67,32.87,23.39,,,,,,,,,,,,,,,
Huerteales,Dipentodontaceae,Perrottetia,longistylis,17.00,53.35,22.78,,,,,,,,,,,,,,,
Huerteales,Dipentodontaceae,Perrottetia,ovata,7.00,43.26,22.30,,,,,,,,,,,,,,,
Huerteales,Huerteaceae,Huertea,cubensis,10.90,74.01,7.06,,,,,,,,,,,,,,,
Huerteales,Petenaeaceae,Petenaea,cordata,9.30,92.28,14.23,,,,,,,,,,,,,,,
   ,Oncothecaceae,Oncotheca,humboldtiana,7.72,64.79,15.14,,,,,,,,,,,,,,,
Lamiales,Acanthaceae,Ruellia,californica,0.82,21.64,6.69,,,,,,,,,,,,,,,
Lamiales,Bignoniaceae,Amphilophium,crucigerum,24.00,83.77,39.11,"Hojas 2–3-folioladas, a veces con zarcillos trífidos, éstos frecuentemente divididos por lo menos 15 veces; folíolos ovados a subredondeados, 3.3 cm de largo y 2–14.7 cm de ancho, ápice acuminado, base cordada, membranáceos, variablemente pubescentes a casi glabros; peciólulos y pecíolos tetragonales",http://www.worldfloraonline.org/taxon/wfo-0000782449,,,,,,,,,,Compuesta,,,
Lamiales,Bignoniaceae,Callichlamys,latifolia,37.75,155.03,43.49,"Hojas 3-folioladas o 2-folioladas con 1 zarcillo o cicatriz de zarcillo; folíolos elípticos, 737 cm de largo y 3.49.5 cm de ancho, ápice acuminado, base ampliamente cuneada a redondeada, puberulentos con tricomas dendroides en las axilas de los nervios laterales del envés y a veces en toda la superficie",http://www.worldfloraonline.org/taxon/wfo-0001214808,,,,,,,,,,Compuesta,,,
Lamiales,Bignoniaceae,Chilopsis,linearis,4.93,109.47,24.50,,,,,,,,,,,,,,,
Lamiales,Bignoniaceae,Fridericia,patellifera,11.20,91.36,26.64,,,,,,,,,,,,,,,
